2023-04-01 00:06:10.418 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-04-01 00:19:55.991 [restartedMain] INFO  com.example.lab.LabManageApplication - Started LabManageApplication in 3.392 seconds (JVM running for 4.831)
2023-04-01 00:20:12.476 [restartedMain] INFO  com.example.lab.LabManageApplication - Starting LabManageApplication using Java 1.8.0_271 on DESKTOP-194I67V with PID 12460 (D:\实验室设备管理系统\lab_manage-denglishi\lab_manage-denglishi\target\classes started by 陈彤烨 in D:\实验室设备管理系统\lab_manage-denglishi\lab_manage-denglishi)
2023-04-01 00:20:12.481 [restartedMain] INFO  com.example.lab.LabManageApplication - No active profile set, falling back to 1 default profile: "default"
2023-04-01 00:20:12.593 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\陈彤烨\.m2\repository\com\weblookandfeel\weblaf-ui\1.2.13\weblaf-ui-1.2.13.jar referenced one or more files that do not exist: file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/weblaf-core-1.2.13.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/xstream-1.4.9.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/jericho-html-3.3.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/java-image-scaling-0.8.6.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/filters-2.0.235.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/slf4j-api-1.7.27.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/svg-salamander-1.1.2.2.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/rsyntaxtextarea-2.6.1.jar
2023-04-01 00:20:12.594 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\陈彤烨\.m2\repository\com\weblookandfeel\weblaf-core\1.2.13\weblaf-core-1.2.13.jar referenced one or more files that do not exist: file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/xstream-1.4.9.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/jericho-html-3.3.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/java-image-scaling-0.8.6.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/filters-2.0.235.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/slf4j-api-1.7.27.jar
2023-04-01 00:20:12.594 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-04-01 00:20:15.125 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-04-01 00:20:15.154 [restartedMain] INFO  com.example.lab.LabManageApplication - Started LabManageApplication in 3.407 seconds (JVM running for 4.618)
2023-04-01 00:20:57.102 [AWT-EventQueue-0] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-04-01 00:20:57.107 [AWT-EventQueue-0] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2023-04-01 00:20:58.217 [AWT-EventQueue-0] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-04-01 00:22:18.371 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-04-01 00:22:18.388 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-04-01 00:22:25.538 [restartedMain] INFO  com.example.lab.LabManageApplication - Starting LabManageApplication using Java 1.8.0_271 on DESKTOP-194I67V with PID 17596 (D:\实验室设备管理系统\lab_manage-denglishi\lab_manage-denglishi\target\classes started by 陈彤烨 in D:\实验室设备管理系统\lab_manage-denglishi\lab_manage-denglishi)
2023-04-01 00:22:25.542 [restartedMain] INFO  com.example.lab.LabManageApplication - No active profile set, falling back to 1 default profile: "default"
2023-04-01 00:22:25.615 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\陈彤烨\.m2\repository\com\weblookandfeel\weblaf-ui\1.2.13\weblaf-ui-1.2.13.jar referenced one or more files that do not exist: file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/weblaf-core-1.2.13.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/xstream-1.4.9.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/jericho-html-3.3.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/java-image-scaling-0.8.6.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/filters-2.0.235.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/slf4j-api-1.7.27.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/svg-salamander-1.1.2.2.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/rsyntaxtextarea-2.6.1.jar
2023-04-01 00:22:25.616 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\陈彤烨\.m2\repository\com\weblookandfeel\weblaf-core\1.2.13\weblaf-core-1.2.13.jar referenced one or more files that do not exist: file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/xstream-1.4.9.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/jericho-html-3.3.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/java-image-scaling-0.8.6.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/filters-2.0.235.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/slf4j-api-1.7.27.jar
2023-04-01 00:22:25.616 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-04-01 00:22:28.031 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-04-01 00:22:28.058 [restartedMain] INFO  com.example.lab.LabManageApplication - Started LabManageApplication in 3.101 seconds (JVM running for 4.445)
2023-04-01 00:22:37.549 [AWT-EventQueue-0] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-04-01 00:22:37.554 [AWT-EventQueue-0] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2023-04-01 00:22:38.560 [AWT-EventQueue-0] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-04-01 00:24:09.106 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-04-01 00:24:09.121 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-04-01 00:24:16.467 [restartedMain] INFO  com.example.lab.LabManageApplication - Starting LabManageApplication using Java 1.8.0_271 on DESKTOP-194I67V with PID 6852 (D:\实验室设备管理系统\lab_manage-denglishi\lab_manage-denglishi\target\classes started by 陈彤烨 in D:\实验室设备管理系统\lab_manage-denglishi\lab_manage-denglishi)
2023-04-01 00:24:16.472 [restartedMain] INFO  com.example.lab.LabManageApplication - No active profile set, falling back to 1 default profile: "default"
2023-04-01 00:24:16.560 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\陈彤烨\.m2\repository\com\weblookandfeel\weblaf-ui\1.2.13\weblaf-ui-1.2.13.jar referenced one or more files that do not exist: file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/weblaf-core-1.2.13.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/xstream-1.4.9.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/jericho-html-3.3.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/java-image-scaling-0.8.6.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/filters-2.0.235.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/slf4j-api-1.7.27.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/svg-salamander-1.1.2.2.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/rsyntaxtextarea-2.6.1.jar
2023-04-01 00:24:16.560 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\陈彤烨\.m2\repository\com\weblookandfeel\weblaf-core\1.2.13\weblaf-core-1.2.13.jar referenced one or more files that do not exist: file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/xstream-1.4.9.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/jericho-html-3.3.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/java-image-scaling-0.8.6.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/filters-2.0.235.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/slf4j-api-1.7.27.jar
2023-04-01 00:24:16.561 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-04-01 00:24:19.316 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-04-01 00:24:19.345 [restartedMain] INFO  com.example.lab.LabManageApplication - Started LabManageApplication in 3.605 seconds (JVM running for 5.016)
2023-04-01 00:24:28.965 [AWT-EventQueue-0] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-04-01 00:24:28.971 [AWT-EventQueue-0] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2023-04-01 00:24:30.083 [AWT-EventQueue-0] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-04-01 00:25:08.087 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-04-01 00:25:08.106 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-04-01 00:28:16.615 [restartedMain] INFO  com.example.lab.LabManageApplication - Starting LabManageApplication using Java 1.8.0_271 on DESKTOP-194I67V with PID 17796 (D:\实验室设备管理系统\lab_manage-denglishi\lab_manage-denglishi\target\classes started by 陈彤烨 in D:\实验室设备管理系统\lab_manage-denglishi\lab_manage-denglishi)
2023-04-01 00:28:16.618 [restartedMain] INFO  com.example.lab.LabManageApplication - No active profile set, falling back to 1 default profile: "default"
2023-04-01 00:28:16.680 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\陈彤烨\.m2\repository\com\weblookandfeel\weblaf-ui\1.2.13\weblaf-ui-1.2.13.jar referenced one or more files that do not exist: file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/weblaf-core-1.2.13.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/xstream-1.4.9.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/jericho-html-3.3.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/java-image-scaling-0.8.6.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/filters-2.0.235.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/slf4j-api-1.7.27.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/svg-salamander-1.1.2.2.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/rsyntaxtextarea-2.6.1.jar
2023-04-01 00:28:16.680 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\陈彤烨\.m2\repository\com\weblookandfeel\weblaf-core\1.2.13\weblaf-core-1.2.13.jar referenced one or more files that do not exist: file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/xstream-1.4.9.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/jericho-html-3.3.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/java-image-scaling-0.8.6.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/filters-2.0.235.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-core/1.2.13/slf4j-api-1.7.27.jar
2023-04-01 00:28:16.681 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-04-01 00:28:20.036 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-04-01 00:28:20.111 [restartedMain] INFO  com.example.lab.LabManageApplication - Started LabManageApplication in 4.003 seconds (JVM running for 4.907)
2023-04-01 00:28:39.522 [AWT-EventQueue-0] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-04-01 00:28:39.526 [AWT-EventQueue-0] WARN  com.zaxxer.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
2023-04-01 00:28:40.302 [AWT-EventQueue-0] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-04-01 00:35:33.382 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-04-01 00:35:33.397 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-04-01 12:48:25.774 [restartedMain] INFO  com.example.lab.LabManageApplication - Starting LabManageApplication using Java 1.8.0_271 on DESKTOP-194I67V with PID 1444 (D:\实验室设备管理系统\lab_manage-denglishi\lab_manage-denglishi\target\classes started by 陈彤烨 in D:\实验室设备管理系统\lab_manage-denglishi\lab_manage-denglishi)
2023-04-01 12:48:25.774 [restartedMain] INFO  com.example.lab.LabManageApplication - No active profile set, falling back to 1 default profile: "default"
2023-04-01 12:48:25.883 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\陈彤烨\.m2\repository\com\weblookandfeel\weblaf-ui\1.2.13\weblaf-ui-1.2.13.jar referenced one or more files that do not exist: file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/weblaf-core-1.2.13.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/xstream-1.4.9.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/jericho-html-3.3.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/java-image-scaling-0.8.6.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/filters-2.0.235.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/slf4j-api-1.7.27.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/svg-salamander-1.1.2.2.jar,file:/C:/Users/%e9%99%88%e5%bd%a4%e7%83%a8/.m2/repository/com/weblookandfeel/weblaf-ui/1.2.13/rsyntaxtextarea-2.6.1.jar
